,basin_id,latitude,longitude,pax_strength,regions
0,63,24.4372,88.6164,102.099,Asia
1,73,25.2611,51.565,38786.422,Middle East
2,82,43.2319,27.825,3998.382,Europe
3,83,42.5697,27.5153,5760.495,Europe
4,84,42.6953,23.4061,7089.389,Europe
5,135,16.7414,-22.9494,1192.828,Africa
6,137,14.9414,-23.4847,648.97,Africa
7,138,16.1367,-22.8889,574.882,Africa
8,143,46.4678,24.4125,179.066,Europe
9,145,45.7856,24.0914,729.16,Europe
10,146,44.5722,26.1022,14755.412,Europe
11,149,44.3181,23.8886,514.544,Europe
12,151,31.7225,35.9933,17193.432,Middle East
13,179,1.6389,103.6703,4254.922,Southeast Asia
14,182,2.7456,101.7147,64516.688,Southeast Asia
15,186,5.9372,116.0531,9443.275,Southeast Asia
16,192,4.3253,113.9883,2435.493,Southeast Asia
17,224,10.5953,-61.3372,2923.003,North America
18,225,11.1497,-60.8322,58.736,North America
19,247,26.4711,49.7978,11168.383,Middle East
20,249,25.2853,49.4853,179.599,Middle East
21,256,24.9578,46.6989,29084.238,Middle East
22,272,46.2236,14.4575,1721.355,Europe
23,275,46.9142,7.4972,48.794,Europe
24,276,47.4647,8.5492,60837.06,Europe
25,277,46.0042,8.9106,111.741,Europe
26,279,46.2381,6.1089,34366.476,Europe
27,284,43.5389,16.2981,6592.842,Europe
28,285,42.5614,18.2683,2896.227,Europe
29,286,45.2169,14.5703,207.336,Europe
30,287,45.7431,16.0689,3435.531,Europe
31,288,44.1083,15.3467,801.347,Europe
32,290,44.8936,13.9222,777.568,Europe
33,325,29.7194,106.6419,44786.722,East Asia
34,376,25.935,119.6633,402.003,East Asia
35,389,24.7956,118.5881,8435.805,East Asia
36,430,24.5442,118.1278,42173.589,East Asia
37,433,50.1717,127.3094,215.947,East Asia
38,455,23.3925,113.2989,73378.475,East Asia
39,465,27.9131,120.8522,12291.707,East Asia
40,473,22.3089,113.9147,201820.907,East Asia
41,493,36.1311,-5.3497,491.405,Europe
42,495,9.5769,-13.6119,573.6,Africa
43,496,62.6628,29.6075,126.613,Europe
44,497,61.4617,21.8,14.415,Europe
45,499,66.5647,25.8303,661.124,Europe
46,500,63.0506,21.7622,303.911,Europe
47,501,63.7211,23.1431,56.113,Europe
48,502,64.2856,27.6925,87.307,Europe
49,503,65.9875,29.2394,114.003,Europe
50,505,62.3994,25.6783,66.572,Europe
51,507,61.9431,28.945,10.495,Europe
52,508,60.5142,22.2628,452.927,Europe
53,509,64.93,25.3544,1057.355,Europe
54,510,65.7786,24.5808,63.579,Europe
55,511,61.4142,23.6044,222.39,Europe
56,512,60.3172,24.9633,21861.082,Europe
57,514,63.0072,27.7978,243.529,Europe
58,519,-34.8383,-56.0308,1987.389,South America
59,521,17.1953,104.1186,386.687,Southeast Asia
60,538,13.6858,100.7489,165514.999,Southeast Asia
61,553,27.5058,83.4164,388.378,Asia
62,558,28.7547,80.5825,27.619,Asia
63,566,27.6967,85.3592,7327.042,Asia
64,596,14.5086,121.0194,47898.046,Southeast Asia
65,599,20.4514,121.98,148.112,Southeast Asia
66,616,15.1861,120.5603,4019.291,Southeast Asia
67,626,-26.1392,28.2461,21665.403,Africa
68,635,-33.9647,18.6017,10979.946,Africa
69,655,35.8575,14.4775,14254.583,Europe
70,657,43.86,51.0919,1029.685,Asia
71,663,47.1219,51.8214,937.032,Asia
72,668,43.3533,77.0422,6422.721,Asia
73,673,42.3642,69.4789,955.412,Asia
74,680,-15.6633,-146.8847,3.886,Oceania
75,687,-14.9542,-147.6608,99.537,Oceania
76,692,-16.4444,-151.7514,150.723,Oceania
77,695,-15.2483,-146.6167,1.024,Oceania
78,696,-15.1197,-148.2308,49.021,Oceania
79,699,-16.0542,-145.6569,35.948,Oceania
80,711,-16.1208,-146.3736,3.131,Oceania
81,712,-17.5539,-149.6072,1561.911,Oceania
82,719,50.6375,5.4433,170.4,Europe
83,720,50.9014,4.4844,34890.529,Europe
84,721,51.1997,2.8753,457.423,Europe
85,725,48.7794,8.0806,1335.957,Europe
86,726,51.6142,8.6164,693.404,Europe
87,727,51.1344,13.7681,1595.675,Europe
88,728,53.0475,8.7867,2308.338,Europe
89,729,53.9181,12.2783,148.165,Europe
90,730,52.4606,9.6894,6301.366,Europe
91,731,50.9797,10.9581,156.326,Europe
92,732,48.69,9.2219,12721.441,Europe
93,733,50.0331,8.5706,136466.661,Europe
94,734,51.6025,6.1422,1231.1,Europe
95,735,53.6303,9.9883,17308.773,Europe
96,736,51.4325,12.2417,2615.801,Europe
97,737,51.4083,9.3775,120.712,Europe
98,738,52.1347,7.6847,986.26,Europe
99,739,47.9881,10.2375,1722.764,Europe
100,742,52.5597,13.2878,11417.435,Europe
101,743,49.9486,7.2639,1496.362,Europe
102,744,49.2147,7.1106,366.574,Europe
103,745,51.5183,7.6122,2719.566,Europe
104,748,48.3539,11.7861,47959.885,Europe
105,749,49.4986,11.0669,4111.689,Europe
106,750,51.2894,6.7667,25507.566,Europe
107,751,47.6714,9.5114,489.921,Europe
108,752,50.8658,7.1428,12400.0,Europe
109,762,55.95,-3.3725,14733.966,Europe
110,763,56.4522,-3.0256,20.917,Europe
111,764,51.3825,-2.7189,10614.599,Europe
112,766,50.7344,-3.4139,1021.705,Europe
113,767,57.54,-4.05,937.728,Europe
114,769,54.5092,-1.4294,147.824,Europe
115,770,55.0375,-1.6917,5198.952,Europe
116,773,52.8311,-1.3281,4674.338,Europe
117,777,49.9133,-6.2917,93.927,Europe
118,778,53.4753,-1.0039,1609.68,Europe
119,779,53.7714,-3.0283,15.213,Europe
120,780,50.4433,-5.0017,525.316,Europe
121,781,50.9503,-1.3567,2584.435,Europe
122,782,55.8719,-4.4333,9482.189,Europe
123,784,52.6758,1.2828,530.328,Europe
124,785,57.2042,-2.2003,2912.743,Europe
125,786,52.4536,-1.7478,12646.456,Europe
126,787,53.8658,-1.6606,3992.209,Europe
127,788,54.6575,-6.2158,8733.633,Europe
128,789,53.3536,-2.275,34367.653,Europe
129,790,55.6819,-6.2547,42.746,Europe
130,791,51.4775,-0.4614,253931.584,Europe
131,792,51.3422,1.3461,2035.574,Europe
132,802,9.9939,-84.2089,5541.577,Central America
133,814,33.3675,-7.59,10313.69,Africa
134,818,35.1772,-3.8394,92.121,Africa
135,819,34.7872,-1.9239,701.913,Africa
136,820,34.0514,-6.7514,1100.846,Africa
137,821,34.9889,-3.0283,773.472,Africa
138,823,35.7269,-5.9169,1353.86,Africa
139,830,47.4369,19.2556,16173.489,Europe
140,831,47.4889,21.6153,25.612,Europe
141,832,46.6864,17.1592,9.123,Europe
142,835,53.125,6.5833,161.433,Europe
143,836,51.45,5.3744,5832.697,Europe
144,837,52.3081,4.7642,75785.553,Europe
145,838,50.9158,5.7769,864.479,Europe
146,859,14.5911,-61.0031,2050.03,North America
147,905,53.8825,28.0308,5101.766,Europe
148,908,36.6967,24.4728,77.627,Europe
149,910,35.5317,24.1497,5806.456,Europe
150,911,39.6964,20.8225,133.375,Europe
151,913,37.0683,22.0256,341.281,Europe
152,914,36.4056,28.0861,10831.883,Europe
153,915,37.9364,23.9444,25573.665,Europe
154,917,38.9256,20.7653,1249.305,Europe
155,920,37.7508,20.8842,1762.593,Europe
156,923,36.58,26.3756,15.261,Europe
157,924,36.3992,25.4794,2276.705,Europe
158,926,38.9683,24.4881,17.451,Europe
159,928,35.3397,25.1803,7843.587,Europe
160,929,37.69,26.9117,545.828,Europe
161,932,37.435,25.3481,1614.227,Europe
162,934,36.2742,23.0169,39.584,Europe
163,935,38.12,20.5006,769.869,Europe
164,939,36.7933,27.0917,5260.449,Europe
